CD,Incumbent,Party,Clinton,Trump,2016Winner,IncumbentRunning
MO-01,"Clay, Lacy",D,77,18.82,Obama,Y
MO-02,"Wagner, Ann",R,42.29,52.57,Romney,Y
MO-03,"Luetkemeyer, Blaine",R,28.08,67.09,Romney,Y
MO-04,"Hartzler, Vicki",R,29.34,65.29,Romney,Y
MO-05,"Cleaver, Emanuel",D,54.07,40.59,Obama,Y
MO-06,"Graves, Sam",R,31.65,63.1,Romney,Y
MO-07,"Long, Billy",R,24.68,70.36,Romney,Y
MO-08,"Smith, Jason",R,21.04,75.43,Romney,Y
MS-01,"Kelly, Trent",R,32.44,65.4,Romney,Y
MS-02,"Thompson, Bennie",D,63.55,35.13,Obama,Y
MS-03,"Harper, Gregg",R,36.78,61.3,Romney,N
MS-04,"Palazzo, Steven",R,28.24,69.38,Romney,Y
MT-AL,"Gianforte, Greg",R,35.94,56.47,Romney,Y
NC-01,"Butterfield, G.K.",D,67.55,30.48,Obama,Y
NC-02,"Holding, George",R,43.59,53.24,Romney,Y
NC-03,"Jones, Walter",R,36.87,60.55,Romney,Y
NC-04,"Price, David",D,68.24,28.21,Obama,Y
NC-05,"Foxx, Virginia",R,39.77,57.35,Romney,Y
NC-06,"Walker, Mark",R,41.44,56.12,Romney,Y
NC-07,"Rouzer, David",R,39.9,57.6,Romney,Y
NC-08,"Hudson, Richard",R,41.13,56.12,Romney,Y
NC-09,"Pittenger, Robert",R,42.77,54.37,Romney,N
NC-10,"McHenry, Patrick",R,36.39,61.05,Romney,Y
NC-11,"Meadows, Mark",R,34.01,63.18,Romney,Y
NC-12,"Adams, Alma",D,68.4,28.39,Obama,Y
NC-13,"Budd, Ted",R,43.98,53.37,Romney,Y
ND-AL,"Cramer, Kevin",R,27.74,64.15,Romney,N
NE-01,"Fortenberry, Jeff",R,36.24,57.46,Romney,Y
NE-02,"Bacon, Don",R,45.97,48.21,Romney,Y
NE-03,"Smith, Adrian",R,19.99,74.86,Romney,Y
NH-01,"Shea-Porter, Carol",D,46.6,48.19,Obama,N
NH-02,"Kuster, Annie",D,48.62,46.22,Obama,Y
NJ-01,"Norcross, Donald",D,60.57,36.11,Obama,Y
NJ-02,"LoBiondo, Frank",R,46,50.62,Obama,N
NJ-03,"MacArthur, Tom",R,45.2,51.39,Obama,Y
NJ-04,"Smith, Chris",R,41,55.77,Romney,Y
NJ-05,"Gottheimer, Josh",D,47.72,48.84,Romney,Y
NJ-06,"Pallone, Frank",D,56.23,40.63,Obama,Y
NJ-07,"Lance, Leonard",R,48.58,47.47,Romney,Y
NJ-08,"Sires, Albio",D,75.67,21.48,Obama,Y
NJ-09,"Pascrell, Bill",D,64.3,33.13,Obama,Y
NJ-10,"Payne, Donald",D,85.21,12.8,Obama,Y
NJ-11,"Frelinghuysen, Rodney",R,47.91,48.79,Romney,N
NJ-12,"Watson Coleman, Bonnie",D,65.02,31.78,Obama,Y
NM-01,"Lujan Grisham, Michelle",D,51.64,35.11,Obama,N
NM-02,"Pearce, Steve",R,39.88,50.07,Romney,N
NM-03,"Lujan, Ben",D,51.83,36.67,Obama,Y
NV-01,"Titus, Dina",D,61.63,32.63,Obama,Y
NV-02,"Amodei, Mark",R,39.67,52.03,Romney,Y
NV-03,"Rosen, Jacky",D,46.55,47.55,Obama,N
NV-04,"Kihuen, Ruben",D,49.5,44.55,Obama,N
NY-01,"Zeldin, Lee",R,42.18,54.46,Obama,Y
